market_key,market,scenario_id,scenario,is_baseline,sensitivity_parameter,sensitivity_value,n,epsilon,d_I,d_J,replication,strategy,interactions_total,interactions_per_customer,welfare,optimal_welfare,welfare_ratio,welfare_regret,match_rate,runtime_ms,baseline_prediction,centralized_sufficient_condition,z,rejections,acceptances,displacements,provider_initiated_contacts,recommendations_per_customer,accepted_recommendations
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,3,Customers search,188,7.52,17.799999999999997,17.799999999999997,1.0,0.0,1.0,0.5846999993082136,Customers search,False,,128.0,60.0,35.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,3,Providers search,144,5.76,17.799999999999997,17.799999999999997,1.0,0.0,1.0,0.4715999966720119,Customers search,False,,107.0,37.0,12.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,3,Both sides search,158,6.32,17.799999999999997,17.799999999999997,1.0,0.0,1.0,0.16519999917363748,Customers search,False,0.4,0.0,38.0,13.0,120.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.20,"d_I=0.10, d_J=0.20",False,d_J (with d_I fixed at 0.10),0.2,25,0.1,0.1,0.2,3,Centralized matching,625,25.0,7.0,17.799999999999997,0.3932584269662922,0.6067415730337078,0.28,0.4084000029251911,Customers search,False,,,,,,25.0,8.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,3,Customers search,91,3.64,19.8,19.8,1.0,0.0,1.0,0.29749999521300197,Customers search,False,,45.0,46.0,21.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,3,Providers search,204,8.16,19.8,19.8,1.0,0.0,1.0,0.6463999961852096,Customers search,False,,171.0,33.0,8.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,3,Both sides search,287,11.48,19.8,19.8,1.0,0.0,1.0,0.17320000188192353,Customers search,False,0.4,0.0,43.0,18.0,244.0,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.40,"d_I=0.10, d_J=0.40",False,d_J (with d_I fixed at 0.10),0.4,25,0.1,0.1,0.4,3,Centralized matching,625,25.0,12.0,19.8,0.6060606060606061,0.3939393939393939,0.48,0.3744999994523823,Customers search,False,,,,,,25.0,18.0
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,3,Customers search,73,2.92,21.400000000000002,21.400000000000002,1.0,0.0,1.0,0.25430000096093863,Customers search,False,,24.0,49.0,24.0,,,
airbnb,Airbnb / short-term rentals,airbnb_dj_0.60,"d_I=0.10, d_J=0.60",False,d_J (with d_I fixed at 0.10),0.6,25,0.1,0.1,0.6,3,Providers search,249,9.96,21.400000000000002,21.400000000000002,1.0,0.0,1.0,0.7585999992443249,Customers search,False,,217.0,32.0,7.0,,,
